health_opp,health_opp_name,action_id,action_name,macro_group,attack_utility,score_success_response,tau_norm,energy_norm,attack_weight
0,Low,A01,straight_punch,试探攻击,0.7229117505658991,0.01104904388898549,0.2238483070029771,0.009373023696810924,0.11410220408726027
0,Low,A02,hook_punch,试探攻击,0.717846822461321,0.014127986748296696,0.3161833619668682,0.03535100384462181,0.11796902835770394
0,Low,A03,combo_punch,试探攻击,0.5949402256236992,0.012236335159136002,0.3553425406143135,0.10115587346441227,0.1003400937575305
0,Low,A04,swing_punch,激进攻击,1.0,0.03923174313233191,0.6696042567784416,0.1536951356290937,0.17046749920600415
0,Low,A05,front_kick,试探攻击,0.628925986052575,0.01111213571892173,0.2755480966490949,0.06132898399243274,0.1019086866417932
0,Low,A06,side_kick,试探攻击,0.7234138423269649,0.020587638888279747,0.466369016128482,0.1002959542141491,0.12464875016388716
0,Low,A08,low_sweep,试探攻击,0.5386955619411482,0.006206475824567214,0.117823170782856,0.022362013770716373,0.0813401104787404
0,Low,A09,knee_strike,试探攻击,0.6917748270059592,0.010010438135074113,0.2684384891865622,0.02861597195444862,0.11145933243676037
0,Low,A10,punch_kick_combo,试探攻击,0.4589318068212834,0.012715445956585508,0.3114828410468925,0.15844814384873024,0.07776429487032016
1,Mid,A01,straight_punch,试探攻击,0.7229117505658991,0.01104904388898549,0.2238483070029771,0.009373023696810924,0.09019322011929114
1,Mid,A02,hook_punch,试探攻击,0.717846822461321,0.014127986748296696,0.3161833619668682,0.03535100384462181,0.09386634560640436
1,Mid,A03,combo_punch,试探攻击,0.5949402256236992,0.012236335159136002,0.3553425406143135,0.10115587346441227,0.08122513418547546
1,Mid,A04,swing_punch,激进攻击,1.0,0.03923174313233191,0.6696042567784416,0.1536951356290937,0.13998054373894372
1,Mid,A05,front_kick,试探攻击,0.628925986052575,0.01111213571892173,0.2755480966490949,0.06132898399243274,0.08163277478432121
1,Mid,A06,side_kick,试探攻击,0.7234138423269649,0.020587638888279747,0.466369016128482,0.1002959542141491,0.10087976345111943
1,Mid,A07,spinning_kick,激进攻击,0.0701238414969889,0.08078920328809007,1.0,0.5066348603594912,0.056425167939216654
1,Mid,A08,low_sweep,试探攻击,0.5386955619411482,0.006206475824567214,0.117823170782856,0.022362013770716373,0.0645074017378728
1,Mid,A09,knee_strike,试探攻击,0.6917748270059592,0.010010438135074113,0.2684384891865622,0.02861597195444862,0.0885343173771797
1,Mid,A10,punch_kick_combo,试探攻击,0.4589318068212834,0.012715445956585508,0.3114828410468925,0.15844814384873024,0.06394097298084646
1,Mid,A11,five_kick_combo,激进攻击,0.2693992429253125,0.02521293468626793,0.922471592810672,1.0,0.06080736903295569
1,Mid,A12,body_charge,激进攻击,0.425274618192877,0.014619618263734526,0.6316272662039177,0.0,0.07800698904637349
2,High,A01,straight_punch,试探攻击,0.7229117505658991,0.01104904388898549,0.2238483070029771,0.009373023696810924,0.08735000869964062
2,High,A02,hook_punch,试探攻击,0.717846822461321,0.014127986748296696,0.3161833619668682,0.03535100384462181,0.09138302519040332
2,High,A03,combo_punch,试探攻击,0.5949402256236992,0.012236335159136002,0.3553425406143135,0.10115587346441227,0.08013845883867032
2,High,A04,swing_punch,激进攻击,1.0,0.03923174313233191,0.6696042567784416,0.1536951356290937,0.1396050457554769
2,High,A05,front_kick,试探攻击,0.628925986052575,0.01111213571892173,0.2755480966490949,0.06132898399243274,0.07989114243744397
2,High,A06,side_kick,试探攻击,0.7234138423269649,0.020587638888279747,0.466369016128482,0.1002959542141491,0.0995126694940595
2,High,A07,spinning_kick,激进攻击,0.0701238414969889,0.08078920328809007,1.0,0.5066348603594912,0.06069393825103988
2,High,A08,low_sweep,试探攻击,0.5386955619411482,0.006206475824567214,0.117823170782856,0.022362013770716373,0.06263692244242634
2,High,A09,knee_strike,试探攻击,0.6917748270059592,0.010010438135074113,0.2684384891865622,0.02861597195444862,0.08607529111668039
2,High,A10,punch_kick_combo,试探攻击,0.4589318068212834,0.012715445956585508,0.3114828410468925,0.15844814384873024,0.06383205445885716
2,High,A11,five_kick_combo,激进攻击,0.2693992429253125,0.02521293468626793,0.922471592810672,1.0,0.07347513480716915
2,High,A12,body_charge,激进攻击,0.425274618192877,0.014619618263734526,0.6316272662039177,0.0,0.07540630850813262
