scope,action_id,primary_pair_count,fallback_pair_count,active_pool_empty,active_top3,fallback_top3,profile_weight_sum,profile_weight_normalized,defense_id,defense_role,ground_pair_count,recovery_pair_count
by_attack,A01,13,7,False,D01|D02|D03,D11|D15|D16,0.9999999999999999,True,,,,
by_attack,A02,13,7,False,D03|D02|D01,D14|D16|D13,0.9999999999999998,True,,,,
by_attack,A03,13,7,False,D03|D02|D01,D15|D14|D16,1.0,True,,,,
by_attack,A04,13,7,False,D10|D20|D01,D16|D11|D14,1.0000000000000002,True,,,,
by_attack,A05,13,7,False,D05|D04|D03,D16|D15|D12,1.0000000000000002,True,,,,
by_attack,A06,13,7,False,D10|D22|D06,D16|D14|D15,1.0000000000000002,True,,,,
by_attack,A07,13,7,False,D10|D01|D02,D16|D14|D15,0.9999999999999997,True,,,,
by_attack,A08,13,7,False,D04|D02|D06,D16|D15|D14,1.0,True,,,,
by_attack,A09,13,7,False,D05|D03|D06,D15|D16|D12,0.9999999999999999,True,,,,
by_attack,A10,13,7,False,D20|D22|D03,D16|D14|D15,0.9999999999999999,True,,,,
by_attack,A11,13,7,False,D22|D20|D01,D15|D14|D16,1.0,True,,,,
by_attack,A12,13,7,False,D06|D01|D02,D15|D14|D16,1.0000000000000002,True,,,,
by_attack,A13,13,7,False,D05|D04|D22,D16|D14|D15,1.0,True,,,,
by_defense,,13,0,,,,,,D01,active_primary,0.0,0.0
by_defense,,13,0,,,,,,D02,active_primary,0.0,0.0
by_defense,,13,0,,,,,,D03,active_primary,0.0,0.0
by_defense,,13,0,,,,,,D04,active_primary,0.0,0.0
by_defense,,13,0,,,,,,D05,active_primary,0.0,0.0
by_defense,,13,0,,,,,,D06,active_primary,0.0,0.0
by_defense,,13,0,,,,,,D07,active_primary,0.0,0.0
by_defense,,13,0,,,,,,D08,active_primary,0.0,0.0
by_defense,,13,0,,,,,,D09,active_primary,0.0,0.0
by_defense,,13,0,,,,,,D10,active_primary,0.0,0.0
by_defense,,0,13,,,,,,D11,fallback_mitigation,0.0,0.0
by_defense,,0,13,,,,,,D12,fallback_mitigation,0.0,0.0
by_defense,,0,13,,,,,,D13,fallback_mitigation,0.0,0.0
by_defense,,0,13,,,,,,D14,fallback_mitigation,0.0,0.0
by_defense,,0,13,,,,,,D15,fallback_mitigation,0.0,0.0
by_defense,,0,13,,,,,,D16,fallback_mitigation,0.0,0.0
by_defense,,0,13,,,,,,D17,emergency_transition,0.0,0.0
by_defense,,0,0,,,,,,D18,recovery_only,0.0,0.0
by_defense,,0,0,,,,,,D19,ground_only,0.0,0.0
by_defense,,13,0,,,,,,D20,active_combo,0.0,0.0
by_defense,,13,0,,,,,,D21,active_combo,0.0,0.0
by_defense,,13,0,,,,,,D22,active_combo,0.0,0.0
