scenario_key,scenario,allocation_label,alloc_reset,alloc_pause,alloc_repair,expected_used_reset,expected_used_pause,expected_used_repair,unused_ratio,total_prob
leading,领先局,R0-P0-M0,0,0,0,0.0,0.0,0.0,0.0,0.9999999999999999
leading,领先局,R0-P0-M1,0,0,1,0.0,0.0,0.19504630950777668,0.8049536904922233,1.0
leading,领先局,R0-P1-M0,0,1,0,0.0,1.0,0.0,0.0,1.0
leading,领先局,R0-P1-M1,0,1,1,0.0,1.0,0.17449982359500915,0.4127500882024955,1.0
leading,领先局,R0-P2-M0,0,2,0,0.0,1.9924828244042383,0.0,0.0037585877978808524,1.0
leading,领先局,R0-P2-M1,0,2,1,0.0,1.992482824404238,0.14641040896035568,0.2870355888784687,1.0
leading,领先局,R1-P0-M0,1,0,0,0.0033756080551785145,0.0,0.0,0.9966243919448214,1.0
leading,领先局,R1-P0-M1,1,0,1,0.0033756080551785154,0.0,0.19504773483862795,0.9007883285530968,1.0
leading,领先局,R1-P1-M0,1,1,0,0.004795475452664337,1.0,0.0,0.4976022622736679,1.0
leading,领先局,R1-P1-M1,1,1,1,0.004795475452664337,1.0,0.1744871857893845,0.6069057795859838,1.0
leading,领先局,R1-P2-M0,1,2,0,0.006489769504128358,1.9938725488190143,0.0,0.33321256055895254,1.0000000000000002
leading,领先局,R1-P2-M1,1,2,1,0.006489769504128361,1.9938725488190143,0.14631411901655383,0.46333089066507593,1.0000000000000002
leading,领先局,R2-P0-M0,2,0,0,0.003393770825029091,0.0,0.0,0.9983031145874854,0.9999999999999999
leading,领先局,R2-P0-M1,2,0,1,0.003393770825029091,0.0,0.19504747471510048,0.9338529181532902,0.9999999999999998
leading,领先局,R2-P1-M0,2,1,0,0.004952839477185154,0.9999999999999999,0.0,0.6650157201742717,0.9999999999999999
leading,领先局,R2-P1-M1,2,1,1,0.004952839477185151,1.0,0.17448322507623262,0.7051409838616456,1.0
leading,领先局,R2-P2-M0,2,2,0,0.006825106681424598,1.9940324975979882,0.0,0.49978559893014685,0.9999999999999999
leading,领先局,R2-P2-M1,2,2,1,0.0068251066814245965,1.9940324975979888,0.14629906422509273,0.5705686662990987,1.0
tied,平局局,R0-P0-M0,0,0,0,0.0,0.0,0.0,0.0,1.0
tied,平局局,R0-P0-M1,0,0,1,0.0,0.0,0.3365689618701328,0.6634310381298671,1.0
tied,平局局,R0-P1-M0,0,1,0,0.0,0.635266275530548,0.0,0.36473372446945196,1.0
tied,平局局,R0-P1-M1,0,1,1,0.0,0.6465704411005191,0.28314222458306404,0.5351436671582084,1.0
tied,平局局,R0-P2-M0,0,2,0,0.0,0.9313298587160335,0.0,0.5343350706419833,1.0
tied,平局局,R0-P2-M1,0,2,1,0.0,0.9580383209643828,0.25826237728885404,0.5945664339155876,1.0
tied,平局局,R1-P0-M0,1,0,0,0.13644731883283914,0.0,0.0,0.8635526811671609,1.0
tied,平局局,R1-P0-M1,1,0,1,0.13591378406044632,0.0,0.3371589808751387,0.7634636175322075,0.9999999999999999
tied,平局局,R1-P1-M0,1,1,0,0.1931875317136082,0.672927696917588,0.0,0.5669423856844019,1.0
tied,平局局,R1-P1-M1,1,1,1,0.19133511918712215,0.6842723166411415,0.27997146226116343,0.614807033970191,1.0
tied,平局局,R1-P2-M0,1,2,0,0.2015621125084442,1.0114664242954232,0.0,0.5956571543987108,0.9999999999999999
tied,平局局,R1-P2-M1,1,2,1,0.19942505169322722,1.0385836038096445,0.25111420630845355,0.6277192845471686,1.0
tied,平局局,R2-P0-M0,2,0,0,0.14803784749132531,0.0,0.0,0.9259810762543373,1.0
tied,平局局,R2-P0-M1,2,0,1,0.14742168292562163,0.0,0.33533853165934197,0.8390799284716788,1.0
tied,平局局,R2-P1-M0,2,1,0,0.2159213214779762,0.6834995455608911,0.0,0.7001930443203777,0.9999999999999999
