health_my,health_my_name,health_opp,health_opp_name,action_id,action_name,action_type,macro_group,expected_reward,p_score_for,p_score_against,p_self_drop,p_opp_drop,p_fall,preferred_counter_action,preferred_counter_name
0,Low,0,Low,A01,straight_punch,attack,试探攻击,0.242876923723236,0.2697354648392962,0.026858541116060224,0.0,0.0,0.0,,
0,Low,0,Low,A02,hook_punch,attack,试探攻击,0.09563414088372105,0.19593672985865673,0.09897073341712563,0.0,0.0,0.00198784411613442,,
0,Low,0,Low,A03,combo_punch,attack,试探攻击,-0.002609201857302978,0.20027828979702422,0.2028448188467462,0.0,0.0,6.369075758356663e-05,,
0,Low,0,Low,A04,swing_punch,attack,试探攻击,-0.012745237794570468,0.1876605013685829,0.18271239530498037,0.0,0.0,0.026407975907720878,,
0,Low,0,Low,A05,front_kick,attack,试探攻击,-0.03988334316278079,0.1693809438376045,0.19925738722458328,0.0,0.0,0.014935671307167173,,
0,Low,0,Low,A06,side_kick,attack,激进攻击,-0.18897441545315602,0.16281128068914197,0.278666279362064,0.0,0.0,0.10913345788094626,,
0,Low,0,Low,A07,spinning_kick,attack,激进攻击,-0.925987102764672,0.15669371330312473,0.4126808160677967,0.0,0.0,1.0,,
0,Low,0,Low,A08,low_sweep,attack,试探攻击,0.07297969739693935,0.19251719307777063,0.11735019875986806,0.0,0.0,0.003264622270094341,,
0,Low,0,Low,A09,knee_strike,attack,激进攻击,0.22034233817809581,0.2649720254683864,0.044064439322774915,0.0,0.0,0.000843653682859174,,
0,Low,0,Low,A10,punch_kick_combo,attack,试探攻击,-0.29015397043966995,0.12155283970138835,0.40164491317174483,0.0,0.0,0.015017756670617109,,
0,Low,0,Low,A12,body_charge,attack,激进攻击,-0.0703914549406915,0.1971892612133365,0.25341897590705126,0.0,0.0,0.021136925741756313,,
0,Low,0,Low,D01,cross_block,defense,保守防守,-0.4569441427477884,0.07967349756963484,0.519123804918324,0.0,0.0,0.026110202088207767,A09,knee_strike
0,Low,0,Low,D02,single_parry,defense,保守防守,-0.49602907772524873,0.06535901963720782,0.549134049615543,0.0,0.0,0.018289623502856026,A09,knee_strike
0,Low,0,Low,D03,elbow_block,defense,保守防守,-0.47588478881519336,0.07310932777372307,0.5342293465260984,0.0,0.0,0.02203697024301198,A09,knee_strike
0,Low,0,Low,D04,downward_block,defense,保守防守,-0.48586228145814353,0.0687908778569187,0.5425342052082135,0.0,0.0,0.018087991204251898,A09,knee_strike
0,Low,0,Low,D05,clamp_block,defense,保守防守,-0.3803343769767019,0.11079447555763546,0.4616937161888001,0.0,0.0,0.04393303932169736,A09,knee_strike
0,Low,0,Low,D06,lateral_slip,defense,反击防守,-0.4282906114522072,0.09860766993324219,0.4999144069602274,0.0,0.0,0.04027443944062994,A09,knee_strike
0,Low,0,Low,D07,duck_evade,defense,反击防守,-0.4846533263888893,0.07967349756963484,0.5178221086647729,0.0,0.0,0.06941002282649442,A09,knee_strike
0,Low,0,Low,D08,back_step,defense,反击防守,0.1643822024833986,0.3111184276637251,0.13390468607954545,0.0,0.0,0.019151550896688144,A09,knee_strike
0,Low,0,Low,D09,spin_evade,defense,反击防守,-0.6577244010743193,0.11829171050926962,0.5011029325284091,0.0,0.0,0.41031817769429824,A09,knee_strike
0,Low,0,Low,D10,orbit_step,defense,反击防守,-0.6544692052201992,0.09860766993324219,0.4999144069602274,0.0,0.0,0.3778544301391255,A09,knee_strike
0,Low,0,Low,D11,head_guard,defense,保守防守,-0.4851388966795161,0.07306903328874488,0.5343068372947444,0.0,0.0,0.03567327264703966,A09,knee_strike
0,Low,0,Low,D12,sink_guard,defense,保守防守,-0.408156155282496,0.10029667309489719,0.4830209686018467,0.0,0.0,0.037957999664994815,A09,knee_strike
0,Low,0,Low,D13,body_turn_guard,defense,保守防守,-0.5234677325776027,0.09496508705692559,0.5504982272365058,0.0,0.0,0.10139491402689921,A09,knee_strike
0,Low,0,Low,D14,com_compensation,defense,平衡恢复,-0.05913539307598761,0.24563072160167748,0.3003850614512429,0.0,0.0,0.006538885412570464,A09,knee_strike
0,Low,0,Low,D15,yield_buffer,defense,平衡恢复,-0.4317792621370509,0.08844283137978161,0.5060141257702415,0.0,0.0,0.02120592200983731,A09,knee_strike
0,Low,0,Low,D16,step_adjust,defense,平衡恢复,-0.14088268676216714,0.20230510785169634,0.32818197390117193,0.0,0.0,0.02239674733237544,A09,knee_strike
0,Low,0,Low,D17,controlled_fall,defense,平衡恢复,-0.3494286142881824,0.16326445665459474,0.353199195106108,0.0,0.0,0.2380505609502525,A09,knee_strike
0,Low,0,Low,D18,rapid_getup,defense,平衡恢复,-0.5603946618214094,0.01524883255343693,0.43473680495923295,0.0,0.0,0.2103084916650946,A09,knee_strike
0,Low,0,Low,D19,ground_guard,defense,平衡恢复,-0.6936720302345879,0.0,0.647487544403409,0.0,0.0,0.0689320684047445,A09,knee_strike
0,Low,0,Low,D20,slip_parry_combo,defense,反击防守,-0.31368958293059485,0.13693082433828413,0.4258393814286436,0.0,0.0,0.036986605731694634,A09,knee_strike
0,Low,0,Low,D21,duck_slip_combo,defense,反击防守,-0.3454302267988904,0.09868690218720433,0.40247388849431825,0.0,0.0,0.06215409028623351,A09,knee_strike
0,Low,0,Low,D22,block_retreat_combo,defense,反击防守,-0.25552431605379167,0.15897206103305966,0.37552472372159096,0.0,0.0,0.058166646813821436,A09,knee_strike
0,Low,1,Mid,A01,straight_punch,attack,试探攻击,0.25096898766841486,0.2697354648392962,0.026858541116060224,0.0,0.04046031972589443,0.0,,
0,Low,1,Mid,A02,hook_punch,attack,试探攻击,0.10210005296905672,0.19593672985865673,0.09897073341712563,0.0,0.03232956042667835,0.00198784411613442,,
0,Low,1,Mid,A03,combo_punch,attack,试探攻击,0.002798311967216676,0.20027828979702422,0.2028448188467462,0.0,0.02703756912259827,6.369075758356663e-05,,
0,Low,1,Mid,A04,swing_punch,attack,试探攻击,-0.004863496737089985,0.1876605013685829,0.18271239530498037,0.0,0.03940870528740242,0.026407975907720878,,
0,Low,1,Mid,A05,front_kick,attack,试探攻击,-0.03353155776887062,0.1693809438376045,0.19925738722458328,0.0,0.03175892696955084,0.014935671307167173,,
0,Low,1,Mid,A06,side_kick,attack,激进攻击,-0.18164790782214463,0.16281128068914197,0.278666279362064,0.0,0.03663253815505694,0.10913345788094626,,
0,Low,1,Mid,A07,spinning_kick,attack,激进攻击,-0.918465804526122,0.15669371330312473,0.4126808160677967,0.0,0.03760649119274993,1.0,,
0,Low,1,Mid,A08,low_sweep,attack,试探攻击,0.07875521318927248,0.19251719307777063,0.11735019875986806,0.0,0.028877578961665592,0.003264622270094341,,
0,Low,1,Mid,A09,knee_strike,attack,激进攻击,0.236240659706199,0.2649720254683864,0.044064439322774915,0.0,0.07949160764051591,0.000843653682859174,,
0,Low,1,Mid,A10,punch_kick_combo,attack,试探攻击,-0.2874190315463887,0.12155283970138835,0.40164491317174483,0.0,0.013674694466406187,0.015017756670617109,,
0,Low,1,Mid,A12,body_charge,attack,激进攻击,-0.06003901872699133,0.1971892612133365,0.25341897590705126,0.0,0.05176218106850083,0.021136925741756313,,
0,Low,1,Mid,D01,cross_block,defense,保守防守,-0.38149254281721195,0.10738978034408521,0.48011574839242793,0.0,0.03221693410322556,0.02270143520823029,A09,knee_strike
0,Low,1,Mid,D02,single_parry,defense,保守防守,-0.4179913088731387,0.09392484772225472,0.5068962056306596,0.0,0.028177454316676415,0.015903644519506047,A09,knee_strike
0,Low,1,Mid,D03,elbow_block,defense,保守防守,-0.397777701435187,0.10183548282446751,0.4928973605220832,0.0,0.030550644847340262,0.019143212995581152,A09,knee_strike
0,Low,1,Mid,D04,downward_block,defense,保守防守,-0.40743657008640066,0.0976759774577903,0.5004428687037902,0.0,0.029302793237337088,0.015716772369952562,A09,knee_strike
0,Low,1,Mid,D05,clamp_block,defense,保守防守,-0.27370816974620843,0.15339253559818197,0.41134989446744624,0.0,0.046017760679454595,0.037245317929604574,A09,knee_strike
0,Low,1,Mid,D06,lateral_slip,defense,反击防守,-0.39818663731259685,0.1037413830798105,0.48403280588942316,0.0,0.031122414923943156,0.03599954848921315,A09,knee_strike
0,Low,1,Mid,D07,duck_evade,defense,反击防守,-0.4056181926689241,0.10738978034408521,0.47901431310096154,0.0,0.03221693410322556,0.060353801093571476,A09,knee_strike
0,Low,1,Mid,D08,back_step,defense,反击防守,0.23736721422023382,0.3432015420550173,0.11460533052884614,0.0,0.09849696822699242,0.01631103127065047,A09,knee_strike
0,Low,1,Mid,D09,spin_evade,defense,反击防守,-0.6033914963087591,0.12039710972106449,0.4850384813701923,0.0,0.03611913291631935,0.36712530036253005,A09,knee_strike
0,Low,1,Mid,D10,orbit_step,defense,反击防守,-0.6003577256421013,0.1037413830798105,0.48403280588942316,0.0,0.031122414923943156,0.33774744151832425,A09,knee_strike
0,Low,1,Mid,D11,head_guard,defense,保守防守,-0.40581593792822196,0.10180138749102446,0.49296292963401445,0.0,0.03054041624730734,0.030988774678646934,A09,knee_strike
