method,scenario,time_step,state_index,score_diff_before,health_my_before,health_opp_before,recovery_lock_before,counter_ready_before,base_action_id,execution_rank,execution_q_loss,execution_adjusted,action_id,action_name,action_type,macro_group,opponent_action_id,opponent_action_name,counter_action_id,counter_action_name,delta_score,self_drop,opp_drop,fall_event,step_reward,score_diff_after,health_my_after,health_opp_after,recovery_lock_after,counter_ready_after,match_index,match_seed
greedy,领先局,1,5072,2,2,2,0,0,A02,1,0.0,0,A02,hook_punch,attack,试探攻击,D03,elbow_block,,,0,0,0,0,0.05236842837106998,2,2,2,0,0,364,966994897
greedy,领先局,2,5108,2,2,2,0,0,A02,1,0.0,0,A02,hook_punch,attack,试探攻击,D20,slip_parry_combo,,,0,0,0,0,0.054965478395463604,2,2,2,0,0,364,966994897
greedy,领先局,3,5144,2,2,2,0,0,A02,1,0.0,0,A02,hook_punch,attack,试探攻击,D03,elbow_block,,,0,0,0,0,0.05236842837106998,2,2,2,0,0,364,966994897
greedy,领先局,4,5180,2,2,2,0,0,A02,1,0.0,0,A02,hook_punch,attack,试探攻击,D03,elbow_block,,,0,0,0,0,0.05236842837106998,2,2,2,0,0,364,966994897
greedy,领先局,5,5216,2,2,2,0,0,A02,1,0.0,0,A02,hook_punch,attack,试探攻击,D01,cross_block,,,0,0,0,0,0.053312659911308985,2,2,2,0,0,364,966994897
greedy,领先局,6,5252,2,2,2,0,0,A02,1,0.0,0,A02,hook_punch,attack,试探攻击,D02,single_parry,,,0,0,0,0,0.05355390458683949,2,2,2,0,0,364,966994897
greedy,领先局,7,5288,2,2,2,0,0,A02,1,0.0,0,A02,hook_punch,attack,试探攻击,D06,lateral_slip,,,0,0,0,0,0.05486984867633815,2,2,2,0,0,364,966994897
greedy,领先局,8,5324,2,2,2,0,0,A04,1,0.0,0,A04,swing_punch,attack,激进攻击,D07,duck_evade,,,0,0,0,0,0.03873101469139751,2,2,2,0,0,364,966994897
greedy,领先局,9,5360,2,2,2,0,0,A04,1,0.0,0,A04,swing_punch,attack,激进攻击,D22,block_retreat_combo,,,0,0,0,0,0.035945283995111314,2,2,2,0,0,364,966994897
greedy,领先局,10,5396,2,2,2,0,0,A04,1,0.0,0,A04,swing_punch,attack,激进攻击,D22,block_retreat_combo,,,0,0,0,0,0.035945283995111314,2,2,2,0,0,364,966994897
greedy,领先局,11,5432,2,2,2,0,0,A04,1,0.0,0,A04,swing_punch,attack,激进攻击,D07,duck_evade,,,0,0,0,0,0.03873101469139751,2,2,2,0,0,364,966994897
greedy,领先局,12,5468,2,2,2,0,0,A04,1,0.0,0,A04,swing_punch,attack,激进攻击,D07,duck_evade,,,0,0,0,0,0.03873101469139751,2,2,2,0,0,364,966994897
greedy,领先局,13,5504,2,2,2,0,0,A04,1,0.0,0,A04,swing_punch,attack,激进攻击,D20,slip_parry_combo,,,0,0,0,0,0.0332225705008145,2,2,2,0,0,364,966994897
greedy,领先局,14,5540,2,2,2,0,0,A04,1,0.0,0,A04,swing_punch,attack,激进攻击,D22,block_retreat_combo,,,0,0,0,0,0.035945283995111314,2,2,2,0,0,364,966994897
greedy,领先局,15,5576,2,2,2,0,0,A04,1,0.0,0,A04,swing_punch,attack,激进攻击,D21,duck_slip_combo,,,0,0,0,0,0.017695457763903445,2,2,2,0,0,364,966994897
greedy,领先局,16,5612,2,2,2,0,0,A04,1,0.0,0,A04,swing_punch,attack,激进攻击,D22,block_retreat_combo,,,0,0,0,0,0.017215819837432422,2,2,2,0,0,364,966994897
greedy,领先局,17,5648,2,2,2,0,0,A04,1,0.0,0,A04,swing_punch,attack,激进攻击,D20,slip_parry_combo,,,0,0,0,0,0.015409248889219096,2,2,2,0,0,364,966994897
greedy,领先局,18,5684,2,2,2,0,0,A04,1,0.0,0,A04,swing_punch,attack,激进攻击,D20,slip_parry_combo,,,0,0,0,0,0.015409248889219096,2,2,2,0,0,364,966994897
greedy,领先局,19,5720,2,2,2,0,0,A04,1,0.0,0,A04,swing_punch,attack,激进攻击,D21,duck_slip_combo,,,0,0,0,0,0.017695457763903445,2,2,2,0,0,364,966994897
greedy,领先局,20,5756,2,2,2,0,0,A04,1,0.0,0,A04,swing_punch,attack,激进攻击,D07,duck_evade,,,0,0,0,0,0.019064203869023848,2,2,2,0,0,364,966994897
static,领先局,1,5072,2,2,2,0,0,A04,1,0.0,0,A04,swing_punch,attack,激进攻击,D20,slip_parry_combo,,,0,0,0,0,0.0332225705008145,2,2,2,0,0,364,966994897
static,领先局,2,5108,2,2,2,0,0,A04,1,0.0,0,A04,swing_punch,attack,激进攻击,D10,orbit_step,,,0,0,0,0,0.02720881262014975,2,2,2,0,0,364,966994897
static,领先局,3,5144,2,2,2,0,0,A04,1,0.0,0,A04,swing_punch,attack,激进攻击,D21,duck_slip_combo,,,0,0,0,0,0.03666815439002756,2,2,2,0,0,364,966994897
static,领先局,4,5180,2,2,2,0,0,A04,1,0.0,0,A04,swing_punch,attack,激进攻击,D20,slip_parry_combo,,,0,0,0,0,0.0332225705008145,2,2,2,0,0,364,966994897
static,领先局,5,5216,2,2,2,0,0,A04,1,0.0,0,A04,swing_punch,attack,激进攻击,D21,duck_slip_combo,,,0,0,0,0,0.03666815439002756,2,2,2,0,0,364,966994897
static,领先局,6,5252,2,2,2,0,0,A04,1,0.0,0,A04,swing_punch,attack,激进攻击,D22,block_retreat_combo,,,0,0,0,0,0.035945283995111314,2,2,2,0,0,364,966994897
static,领先局,7,5288,2,2,2,0,0,A04,1,0.0,0,A04,swing_punch,attack,激进攻击,D22,block_retreat_combo,,,0,0,0,0,0.035945283995111314,2,2,2,0,0,364,966994897
static,领先局,8,5324,2,2,2,0,0,A04,1,0.0,0,A04,swing_punch,attack,激进攻击,D07,duck_evade,,,0,0,0,0,0.03873101469139751,2,2,2,0,0,364,966994897
static,领先局,9,5360,2,2,2,0,0,A04,1,0.0,0,A04,swing_punch,attack,激进攻击,D07,duck_evade,,,0,0,0,0,0.03873101469139751,2,2,2,0,0,364,966994897
