action_id,defense_id,defense_category,defense_role,primary_score,p_block,counter_prob_effective,counter_window,p_fall,profile_weight
A01,D01,block,active_primary,0.2118798723188714,0.501638208936325,0.0,0.0,0.0214362136404091,0.41263650995143325
A01,D02,block,active_primary,0.1958910597565017,0.4623703458208333,0.0,0.0150802440124118,0.0286811017468067,0.33788544814102345
A01,D03,block,active_primary,0.140390674738456,0.3706871427137037,0.0,0.0,0.0414835385339693,0.1688401002191521
A01,D05,block,active_primary,0.0449912812923942,0.1897921506188473,0.0,0.0,0.0673245654429224,0.05123688569590813
A01,D20,combo,active_combo,0.0005569529242514,0.1094375349127921,0.0,0.0,0.0624523839701236,0.029401055992483
A02,D03,block,active_primary,0.1029379204918209,0.2855303629525611,0.0,0.0589435974721435,0.0708104628452899,0.2975879756496305
A02,D02,block,active_primary,0.0871611863105491,0.221996921166417,0.0,0.1152196391388101,0.0624019838542482,0.2443253455365669
A02,D01,block,active_primary,0.0870445848392636,0.234925990805394,0.0,0.0914956808054768,0.0494778994228941,0.24396949624348369
A02,D06,evade,active_primary,0.0299142073683843,0.1514712909666471,0.0,0.0914956808054768,0.0952272294135137,0.11945186462006553
A02,D20,combo,active_combo,0.0113089448636374,0.1463461900896648,0.0,0.0263915141388101,0.0900058802263064,0.09466531795025325
A03,D03,block,active_primary,0.0532273343835583,0.2021046226926516,0.0,0.0585551129185344,0.1016903872159515,0.3184415468179877
A03,D02,block,active_primary,0.0063848619004474,0.1265797442946907,0.0,0.0409475804965503,0.0900866913839092,0.1773114916421204
A03,D01,block,active_primary,0.0032365949110289,0.1189569477296743,0.0,0.0367883862258424,0.0732698380976821,0.17046920904244378
A03,D05,block,active_primary,0.003047919465353,0.1375608825083247,0.0,0.0319087753105264,0.1385575901720875,0.1700676408415733
A03,D20,combo,active_combo,0.0,0.1283176830402314,0.0,0.034670858893529,0.1181864349974048,0.16371011165587482
A04,D10,evade,active_primary,0.0094840850200948,0.3078752035624945,0.0,0.055342631833143,0.401787263252887,0.21850115426060893
A04,D20,combo,active_combo,0.0021162199142097,0.184884028463316,0.0,0.1278947151664764,0.1824597505307031,0.19927643539124257
A04,D22,combo,active_combo,0.0,0.1292000886095652,0.0,0.0716186734998097,0.2654842324726191,0.1940741367827162
A04,D21,combo,active_combo,0.0,0.1144162078682061,0.0,0.0190665901664763,0.3994036021480324,0.1940741367827162
A04,D07,evade,active_primary,0.0,0.0722273440054509,0.0,0.1078947151664764,0.5385838483054126,0.1940741367827162
A05,D05,block,active_primary,0.2128611833561859,0.5006651495141798,0.0,0.0235793451643842,0.0587441615900724,0.6122363322486838
A05,D04,block,active_primary,0.0949583879319231,0.1982305483411673,0.0,0.1361314284977175,0.0645214348877004,0.14023694116883215
A05,D03,block,active_primary,0.0742078516205931,0.1786356520088426,0.0,0.1198553868310508,0.0766550474616236,0.10819679285541216
A05,D02,block,active_primary,0.0460639483838444,0.0830680393048701,0.0,0.1761314284977175,0.0692540928570752,0.07610796578511513
A05,D01,block,active_primary,0.0312238603961058,0.068712999582389,0.0,0.1524074701643841,0.0567129970633799,0.0632219679419569
A06,D10,evade,active_primary,0.0391098301521791,0.2664087291093564,0.0,0.0903554656777753,0.3431123306183162,0.2733849578159197
A06,D22,combo,active_combo,0.0145794089346868,0.157767625391574,0.0,0.106631507344442,0.20688199812375,0.20119018175410797
A06,D06,evade,active_primary,0.0100355576072726,0.0995860867606956,0.0,0.2280117156777753,0.1728485707676143,0.19008141815968882
A06,D21,combo,active_combo,0.0,0.1073791733875096,0.0,0.0540794240111086,0.3243543656315963,0.1676717211351418
A06,D20,combo,active_combo,0.0,0.0596853499921639,0.0,0.1629075490111087,0.1695865052440362,0.1676717211351418
A07,D10,evade,active_primary,0.0739718690333424,0.4121686114522894,0.4121686114522894,0.3371406249999924,0.8803353187519636,0.38659542004623726
A07,D22,combo,active_combo,0.0,0.1817159126854735,0.1817159126854735,0.3534166666666591,0.6435881798529045,0.15335114498844063
A07,D20,combo,active_combo,0.0,0.0974564657804704,0.0974564657804704,0.4096927083333258,0.5211940270991193,0.15335114498844063
A07,D21,combo,active_combo,0.0,0.0934501197932766,0.0934501197932766,0.3008645833333258,1.0,0.15335114498844063
A07,D06,evade,active_primary,0.0,0.0659738160733818,0.0659738160733818,0.4747968749999924,0.5741109490384928,0.15335114498844063
A08,D04,block,active_primary,0.2784176169722027,0.5051084549308958,0.0,0.1466265228218864,0.0194553787582576,0.8348497352330263
A08,D02,block,active_primary,0.0414651544736279,0.0082669141559884,0.0,0.1866265228218864,0.0365913371638777,0.04317864177429262
A08,D06,evade,active_primary,0.0390498637933395,0.026998021870338,0.0,0.1629025644885531,0.0502313358883748,0.04189451184442841
A08,D22,combo,active_combo,0.0370808245034052,0.1049297630937702,0.0,0.0415223561552197,0.0591269253977301,0.04087594895579237
A08,D01,block,active_primary,0.0337339884339648,0.0084393055261964,0.0,0.162902564488553,0.0294980634045327,0.03920116219246028
