best_resource_action_id,best_resource_action_name,status_label,time_bucket_band,score_diff_band,state_count,top1_share,mean_gain_vs_non_resource,median_gain_vs_non_resource,mean_gain_vs_wait,median_gain_vs_wait,mean_resource_q,interpretation
USE_PAUSE,战术暂停,低机能,前期,小幅领先,216,1.0,0.07378125157662094,0.07673721146197321,,,0.8824668867515192,资源动作为最优且相对替代动作有正价值差
USE_PAUSE,战术暂停,低机能,中期,小幅领先,180,1.0,0.06390688402851326,0.05843823141311677,,,0.9614484195930184,资源动作为最优且相对替代动作有正价值差
USE_PAUSE,战术暂停,低机能,前期,平局,216,1.0,0.047277571338994566,0.05150774420654691,,,0.4878179740097938,资源动作为最优且相对替代动作有正价值差
USE_PAUSE,战术暂停,低机能,中期,平局,180,1.0,0.0421714655551988,0.0360778536577695,,,0.5087097281216117,资源动作为最优且相对替代动作有正价值差
USE_PAUSE,战术暂停,低机能,前期,大幅领先,864,1.0,0.018778952528930894,0.012767683757205162,,,0.9888785105851693,资源动作为最优且相对替代动作有正价值差
USE_PAUSE,战术暂停,正常,前期,小幅领先,432,1.0,0.01594536683850171,0.01676675069681899,,,0.9305307282257909,资源动作为最优且相对替代动作有正价值差
USE_PAUSE,战术暂停,正常,中期,小幅领先,360,1.0,0.014123150947343155,0.013699465072488481,,,0.9741632855668487,资源动作为最优且相对替代动作有正价值差
USE_PAUSE,战术暂停,低机能,前期,小幅落后,216,1.0,0.011718145709830917,0.009857418772324877,,,0.12644756543941738,资源动作为最优且相对替代动作有正价值差
USE_PAUSE,战术暂停,低机能,中期,大幅领先,720,1.0,0.007079246085355581,0.0015940464915129016,,,0.9991136347617928,资源动作为最优且相对替代动作有正价值差
USE_PAUSE,战术暂停,正常,前期,大幅领先,1728,1.0,0.004752900103453021,0.002164362267740527,,,0.9946097834111988,资源动作为最优且相对替代动作有正价值差
USE_PAUSE,战术暂停,正常,中期,大幅领先,1440,0.95,0.0018679645276938998,0.00041460841551987926,,,0.9996293132280044,资源动作为最优且相对替代动作有正价值差
USE_PAUSE,战术暂停,低机能,后期,小幅领先,144,0.75,0.014427414644357452,0.014662153039718961,,,0.9851367499702138,资源动作为最优且相对替代动作有正价值差
USE_PAUSE,战术暂停,低机能,前期,大幅落后,864,0.6018518518518519,0.0003482191040209286,3.0325738814983984e-06,,,0.006301133750777833,资源动作为最优且相对替代动作有正价值差
USE_PAUSE,战术暂停,低机能,中期,小幅落后,180,0.5333333333333333,-0.005291334987960768,0.00024512690883491534,,,0.07639775185640957,资源动作可行，但需结合局势筛选
USE_PAUSE,战术暂停,正常,前期,平局,432,0.5,0.003910743851787971,0.00441750413883224,,,0.5490358439709956,资源动作为最优且相对替代动作有正价值差
USE_PAUSE,战术暂停,正常,中期,平局,360,0.45555555555555555,-0.005303742088140589,-0.010938120285165887,,,0.5336942967152312,资源动作可行，但需结合局势筛选
USE_PAUSE,战术暂停,正常,前期,小幅落后,432,0.4444444444444444,-0.014184841090939534,-0.01574623123369677,,,0.16498859588560466,资源动作可行，但需结合局势筛选
USE_PAUSE,战术暂停,低机能,后期,大幅领先,576,0.375,0.0005793218256991821,0.0,,,1.0,资源动作可行，但需结合局势筛选
USE_PAUSE,战术暂停,低机能,后期,平局,144,0.3333333333333333,-0.012378503929409954,-0.022897465789523397,,,0.4896140732802608,资源动作可行，但需结合局势筛选
USE_PAUSE,战术暂停,正常,后期,小幅领先,288,0.25,-0.0056316833645598885,-0.008911321344344691,,,0.9851413209986016,资源动作可行，但需结合局势筛选
USE_PAUSE,战术暂停,正常,后期,大幅领先,1152,0.1875,0.0001446862728585806,-2.220446049250313e-16,,,1.0,资源动作可行，但需结合局势筛选
USE_PAUSE,战术暂停,低机能,中期,大幅落后,720,0.1,-0.0009601117439170417,-3.494274134043304e-05,,,0.0016427294516821616,资源动作可行，但需结合局势筛选
USE_PAUSE,战术暂停,正常,前期,大幅落后,1728,0.09490740740740741,-0.0028087527388804675,-0.00036105634403084494,,,0.009130688046540025,资源动作可行，但需结合局势筛选
USE_PAUSE,战术暂停,正常,中期,小幅落后,360,0.011111111111111112,-0.038613416202690404,-0.04280705721731192,,,0.08742346497539688,资源动作可行，但需结合局势筛选
USE_PAUSE,战术暂停,低机能,后期,大幅落后,576,0.0,-0.0005290642667593269,0.0,,,0.0,资源动作可行，但需结合局势筛选
USE_PAUSE,战术暂停,正常,后期,大幅落后,1152,0.0,-0.0007403756031342007,0.0,,,0.0,资源动作可行，但需结合局势筛选
USE_PAUSE,战术暂停,正常,中期,大幅落后,1440,0.0,-0.0029367240107445324,-0.0002519330837551087,,,0.001994331215487463,资源动作可行，但需结合局势筛选
USE_PAUSE,战术暂停,正常,后期,平局,288,0.0,-0.03996916605137321,-0.04287165310891827,,,0.48976642270215226,资源动作可行，但需结合局势筛选
USE_PAUSE,战术暂停,低机能,后期,小幅落后,144,0.0,-0.040967405568604544,-0.04019271832840332,,,0.006223872757214514,资源动作可行，但需结合局势筛选
USE_PAUSE,战术暂停,正常,后期,小幅落后,288,0.0,-0.05111568611605133,-0.05335650287503073,,,0.006371081164904459,资源动作可行，但需结合局势筛选
USE_REPAIR,紧急维修,故障,后期,小幅领先,648,1.0,8.326672684688674e-17,5.551115123125783e-17,8.326672684688674e-17,5.551115123125783e-17,0.8144828125000001,资源动作为最优且相对替代动作有正价值差
USE_REPAIR,紧急维修,故障,后期,大幅领先,2592,1.0,2.0816681711721685e-17,0.0,2.0816681711721685e-17,0.0,0.9929845703125001,资源动作为最优且相对替代动作有正价值差
USE_REPAIR,紧急维修,故障,后期,平局,648,1.0,1.3877787807814457e-17,0.0,1.3877787807814457e-17,0.0,0.33857890625000003,资源动作为最优且相对替代动作有正价值差
USE_REPAIR,紧急维修,故障,中期,小幅领先,810,1.0,1.1102230246251566e-17,0.0,1.1102230246251566e-17,0.0,0.5230479950353516,资源动作为最优且相对替代动作有正价值差
USE_REPAIR,紧急维修,故障,中期,大幅落后,3240,1.0,0.0,0.0,0.0,0.0,0.0,资源动作可行，但需结合局势筛选
USE_REPAIR,紧急维修,故障,中期,小幅落后,810,1.0,0.0,0.0,0.0,0.0,0.0,资源动作可行，但需结合局势筛选
USE_REPAIR,紧急维修,故障,前期,大幅落后,3888,1.0,0.0,0.0,0.0,0.0,0.0,资源动作可行，但需结合局势筛选
USE_REPAIR,紧急维修,故障,前期,小幅落后,972,1.0,0.0,0.0,0.0,0.0,0.0,资源动作可行，但需结合局势筛选
USE_REPAIR,紧急维修,故障,后期,大幅落后,2592,1.0,0.0,0.0,0.0,0.0,0.0,资源动作可行，但需结合局势筛选
USE_REPAIR,紧急维修,故障,后期,小幅落后,648,1.0,0.0,0.0,0.0,0.0,0.0,资源动作可行，但需结合局势筛选
USE_REPAIR,紧急维修,故障,前期,小幅领先,972,0.8333333333333334,-4.625929269271485e-18,0.0,-4.625929269271485e-18,0.0,0.28091402660876486,资源动作可行，但需结合局势筛选
USE_REPAIR,紧急维修,故障,中期,大幅领先,3240,0.8,2.7755575615628914e-17,0.0,2.7755575615628914e-17,0.0,0.940626562946289,资源动作为最优且相对替代动作有正价值差
USE_REPAIR,紧急维修,故障,中期,平局,810,0.8,8.326672684688674e-18,1.3877787807814457e-17,8.326672684688674e-18,1.3877787807814457e-17,0.16455393877285157,资源动作为最优且相对替代动作有正价值差
USE_REPAIR,紧急维修,故障,前期,大幅领先,3888,0.7916666666666666,2.544261098099317e-17,0.0,2.544261098099317e-17,0.0,0.8203174753621644,资源动作为最优且相对替代动作有正价值差
USE_REPAIR,紧急维修,故障,前期,平局,972,0.6666666666666666,0.0,0.0,0.0,0.0,0.06812406561369928,资源动作可行，但需结合局势筛选
USE_RESET,人工复位,倒地,中期,平局,540,1.0,0.0561751686837675,0.05783198534714257,0.0561751686837675,0.05783198534714257,0.5097749699142557,资源动作为最优且相对替代动作有正价值差
USE_RESET,人工复位,倒地,前期,平局,648,1.0,0.05538056921069943,0.04967899770799655,0.05538056921069943,0.04967899770799655,0.5121061290292012,资源动作为最优且相对替代动作有正价值差
USE_RESET,人工复位,倒地,前期,小幅领先,648,1.0,0.053563022122994554,0.04066584146091512,0.053563022122994554,0.04066584146091512,0.8853079097148059,资源动作为最优且相对替代动作有正价值差
USE_RESET,人工复位,倒地,后期,平局,432,1.0,0.05293330300983715,0.055952752043188114,0.05293330300983715,0.055952752043188114,0.4825993740860592,资源动作为最优且相对替代动作有正价值差
USE_RESET,人工复位,倒地,中期,小幅领先,540,1.0,0.05146732560436058,0.04857216994184854,0.05146732560436058,0.04857216994184854,0.936790636835805,资源动作为最优且相对替代动作有正价值差
USE_RESET,人工复位,倒地,后期,小幅领先,432,1.0,0.04818067115371528,0.05003435630159053,0.04818067115371528,0.05003435630159053,0.9587631653042245,资源动作为最优且相对替代动作有正价值差
USE_RESET,人工复位,倒地,前期,小幅落后,648,1.0,0.027705742595796744,0.031080799235948846,0.027705742595796744,0.031080799235948846,0.162734027092454,资源动作为最优且相对替代动作有正价值差
USE_RESET,人工复位,倒地,中期,小幅落后,540,1.0,0.021908015630262907,0.022535428711102652,0.021908015630262907,0.022535428711102652,0.10862720579038673,资源动作为最优且相对替代动作有正价值差
USE_RESET,人工复位,倒地,后期,小幅落后,432,1.0,0.010940022191478346,0.012680655507625618,0.010940022191478346,0.012680655507625618,0.0334282353220506,资源动作为最优且相对替代动作有正价值差
USE_RESET,人工复位,倒地,前期,大幅领先,2592,1.0,0.004794195208386133,0.0006370405320730299,0.004794195208386133,0.0006370405320730299,0.989656667664619,资源动作为最优且相对替代动作有正价值差
USE_RESET,人工复位,倒地,前期,大幅落后,2592,1.0,0.0023515377164099404,0.0004377160666306897,0.0023515377164099404,0.0004377160666306897,0.010307505815584142,资源动作为最优且相对替代动作有正价值差
USE_RESET,人工复位,倒地,中期,大幅落后,2160,1.0,0.0010346307757963622,6.586381281328563e-05,0.0010346307757963622,6.586381281328563e-05,0.003664292175285717,资源动作为最优且相对替代动作有正价值差
USE_RESET,人工复位,倒地,后期,大幅落后,1728,1.0,0.0001306934583634994,0.0,0.0001306934583634994,0.0,0.00029221349947106053,资源动作为最优且相对替代动作有正价值差
USE_RESET,人工复位,倒地,后期,大幅领先,1728,0.9930555555555556,0.0005869654086877968,0.0,0.0005869654086877968,0.0,0.9999254995247242,资源动作为最优且相对替代动作有正价值差
USE_RESET,人工复位,倒地,中期,大幅领先,2160,0.9833333333333333,0.0017079212446264845,7.340007208150867e-05,0.0017079212446264845,7.340007208150867e-05,0.9983977528077124,资源动作为最优且相对替代动作有正价值差
