scope_name,action_id,total_pairs,family_rule_hit_pairs,route_relevant_pairs,route_rule_hit_pairs,geo_cap_applied_pairs,missing_family_rule_pairs,missing_route_rule_pairs,non_normal_audit_pairs,family_rule_hit_rate,route_rule_hit_rate,geo_cap_applied_rate
overall,,286,286,156,132,20,0,24,58,1.0,0.8461538461538461,0.06993006993006994
by_action,A01,22,22,12,10,0,0,2,3,1.0,0.8333333333333334,0.0
by_action,A02,22,22,12,10,2,0,2,5,1.0,0.8333333333333334,0.09090909090909091
by_action,A03,22,22,12,10,0,0,2,3,1.0,0.8333333333333334,0.0
by_action,A04,22,22,12,10,2,0,2,5,1.0,0.8333333333333334,0.09090909090909091
by_action,A05,22,22,12,10,3,0,2,6,1.0,0.8333333333333334,0.13636363636363635
by_action,A06,22,22,12,10,3,0,2,6,1.0,0.8333333333333334,0.13636363636363635
by_action,A07,22,22,12,10,3,0,2,6,1.0,0.8333333333333334,0.13636363636363635
by_action,A08,22,22,12,10,1,0,2,4,1.0,0.8333333333333334,0.045454545454545456
by_action,A09,22,22,12,10,3,0,2,6,1.0,0.8333333333333334,0.13636363636363635
by_action,A10,22,22,12,10,0,0,2,3,1.0,0.8333333333333334,0.0
by_action,A11,22,22,12,10,0,0,2,3,1.0,0.8333333333333334,0.0
by_action,A12,22,22,12,10,3,0,2,6,1.0,0.8333333333333334,0.13636363636363635
by_action,A13,22,22,12,12,0,0,0,2,1.0,1.0,0.0
