health_my,health_opp,counter_ready,action_id,action_name,action_type,macro_group,expected_reward,score_term,health_term,cost_term,fall_term,counter_bonus_term,opponent_block_penalty_term,counter_score_term,prevent_score_term,prevented_score_prob,counter_health_term,self_damage_term,time_control_term
0,0,0,A01,straight_punch,attack,试探攻击,0.0023002618190726878,0.01104904388898549,0.0,0.0,0.00011128989105929392,0.0,0.008637492178853508,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,A02,hook_punch,attack,试探攻击,0.009696892458365403,0.014127986748296696,0.0,0.0,0.0002473821909113884,0.0,0.004183712099019904,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,A03,combo_punch,attack,试探攻击,0.009849458741699076,0.012236335159136002,0.0,0.0,0.00020236971584693025,0.0,0.002184506701589998,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,A04,swing_punch,attack,激进攻击,0.014397633466594272,0.027462220192632333,0.0,0.0,0.005289057410661069,0.0,0.00777552931537699,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,A05,front_kick,attack,试探攻击,0.00391263675197525,0.01111213571892173,0.0,0.0,0.0008309620696173099,0.0,0.00636853689732917,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,A06,side_kick,attack,试探攻击,-0.0023504472188637733,0.020587638888279747,0.0,0.0,0.01926172929333737,0.0,0.00367635681380615,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,A08,low_sweep,attack,试探攻击,0.0010508284964802555,0.006206475824567214,0.0,0.0,0.0005154786599116727,0.0,0.004640168668175286,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,A09,knee_strike,attack,试探攻击,0.003060019785025107,0.010010438135074113,0.0,0.0,0.0005879309767886201,0.0,0.006362487373260385,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,A10,punch_kick_combo,attack,试探攻击,0.00888468276550375,0.012715445956585508,0.0,0.0,0.0010615401723242646,0.0,0.0027692230187574933,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,A12,body_charge,attack,激进攻击,-0.42845265686387735,0.010233732784614168,0.0,0.0,0.2738015110276655,0.0,0.164884878620826,0.0,0.0,0.0,0.0,0.0,0.0
