defense_id,route_type,exec_time_def,clear_back_m,clear_lateral_m,clear_orbit_m,clear_drop_m,J_cap,E_cap,absorb_base,mobility_cost
D01,block_line,0.088828125,0.0,0.0,0.0,0.0,10.45906124272582,6.025605405078174,0.52,0.42572301257047346
D02,block_line,0.10510416666666667,0.0,0.0,0.0,0.0,10.45906124272582,6.025605405078174,0.52,0.5280030155978912
D03,block_line,0.12138020833333332,0.0,0.0,0.0,0.0,10.45906124272582,6.025605405078174,0.52,0.6524285805978177
D04,block_line,0.10510416666666667,0.0,0.0,0.0,0.0,10.45906124272582,6.025605405078174,0.52,0.562577787576308
D05,block_line,0.13765624999999998,0.0,0.0,0.0,0.0,10.45906124272582,6.025605405078174,0.52,0.822433705374812
D06,evade_lateral,0.128828125,0.0,0.09643336332501978,0.0,0.0,0.0,0.0,0.0,0.7387779588707346
D07,evade_duck,0.17393229166666666,0.0,0.0,0.0,0.23203741893102367,0.0,0.0,0.0,1.8
D08,evade_back,0.16138020833333333,0.1577668530603535,0.0,0.0,0.0,0.0,0.0,0.0,1.1538067779761212
D09,evade_spin,0.2953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8
D10,evade_orbit,0.22648437500000002,0.0,0.0,0.3241420613767649,0.0,0.0,0.0,0.0,1.8
D11,head_cover,0.10510416666666667,0.0,0.0,0.0,0.0,6.817106022627187,4.340839457247231,0.63,0.562577787576308
D12,torso_sink,0.10510416666666667,0.0,0.0,0.0,0.0,6.817106022627187,4.340839457247231,0.63,0.6268623321134997
D13,body_turn,0.11324218750000001,0.0,0.0,0.0,0.0,6.817106022627187,4.340839457247231,0.63,0.7013909372149401
D14,balance_comp,0.06627604166666667,0.0,0.0,0.0,0.0,6.097404990567044,3.88256484232724,0.63,0.15974103637474527
D15,yield_soft,0.08255208333333333,0.0,0.0,0.0,0.0,6.774894433963383,4.313960935919156,0.78,0.28562822838039437
D16,balance_step,0.128828125,0.07551499999999998,0.055606499999999996,0.0,0.0,6.538738392216093,4.1635869413411895,0.63,0.6634707905681434
D17,ground_transfer,0.326484375,0.0,0.0,0.0,0.0,5.462774777754173,3.4784596605396083,0.55,1.8
D18,recovery_up,1.0,0.0,0.0,0.0,0.0,7.382128078046179,4.700621162891362,0.55,0.08257088782323906
D19,ground_hold,0.27765625,0.0,0.0,0.0,0.0,7.382128078046179,4.700621162891362,0.55,1.6397639119765692
D20,combo_lateral_parry,0.19393229166666665,0.0,0.09643336332501978,0.0,0.0,4.699184145123167,2.7072629872977303,0.23363241678726487,0.6940782292649018
D21,combo_duck_slip,0.26276041666666666,0.0,0.09643336332501978,0.0,0.23203741893102367,0.0,0.0,0.0,1.3984375161305285
D22,combo_block_retreat,0.2102083333333333,0.1577668530603535,0.0,0.0,0.0,3.7131409137112583,2.139190261940222,0.18460865945045796,0.9453249166315475
